Name,Price,Stock,Category,Description
Amoxicillin 500mg,450,200,pharma,Broad-spectrum antibiotic
Paracetamol 500mg,180,500,pharma,Fever & pain relief
Azithromycin 250mg,320,300,pharma,Macrolide antibiotic
Insulin Injection 40IU,850,100,pharma,Rapid-acting insulin 10ml vial
Surgical Blade Set #10,1200,80,surgical,Sterile carbon steel blades box of 100
Scalpel Handle #3,650,60,surgical,Reusable stainless steel standard size
Artery Forceps,890,75,surgical,Straight Halsted mosquito forceps 5 inch
Surgical Gloves Box,750,150,surgical,Latex powder-free sterile 50 pairs
Stethoscope,2500,40,equipment,Dual-head acoustic adult size
Digital BP Monitor,4200,30,equipment,Automatic upper-arm monitor LCD display
Pulse Oximeter,1800,50,equipment,Fingertip SpO2 & pulse rate monitor
Examination Couch,15500,15,equipment,Adjustable vinyl-covered examination table
Cotton Roll 500g,250,400,consumable,Absorbent surgical cotton roll
Gauze Swabs Pack,180,600,consumable,Sterile 4x4 gauze pack of 100
Surgical Tape,120,500,consumable,Hypoallergenic micropore tape 5cm x 5m
IV Cannula 24G,950,200,consumable,Sterile IV cannula box of 50
